study_id,reason_code,category,reason,evidence
2016_early-sitting-in-ischemic-stroke-patients-sevel_PMC4811411,binary_outcome,design,Primaeres Outcome ist der Anteil mit modifiziertem Rankin-Score 0-2 und damit binaer; das Gitter ist fuer stetige Outcomes gebaut,Abstract: proportion of patients with a modified Rankin score [0-2] at 3 months
2017_predicting-outcome-in-frozen-shoulder-shoulder-c_PMC5581414,duplicate_data,duplicate,"Nutzt denselben Datensatz wie die Adhesive-Capsulitis-Studie (106 Zeilen, Group 1/2/3, identische SPADI-Spalten); Doppelzaehlung",identische Dateistruktur wie PMC4880881
2020_an-age-adapted-plyometric-exercise-program-impro_PMC7447006,feasibility_primary,design,Machbarkeitsstudie; primaerer Endpunkt ist die Durchfuehrbarkeit des Programms,Abstract: the feasibility of the plyometric exercise program was investigated
2021_home-based-exercise-for-people-living-with-frail_PMC8248609,feasibility_primary,design,"Primaere Endpunkte sind Eignung, Rekrutierung, Adhaerenz und Abbruchquote; kein Effektschaetzer","Abstract: Primary outcome measures included eligibility, recruitment, adherence, attrition"
2022_dependence-of-learning-outcomes-in-flipped-and-l_PMC9762591,not_clinical,design,Lehrforschung zu Unterrichtsformaten; keine klinische Studie an Patienten,Vergleich Flipped Classroom gegen Vorlesung
2022_a-comparison-of-psychological-characteristics-in_PMC9070885,not_rct,design,Querschnitts- bzw. Kohortenvergleich psychologischer Merkmale; keine randomisierte Intervention,Design laut Abstract: cohort und cross-sectional
2025_subphenotypic-classification-of-covid-19-survivo_PMC11971945,duplicate_data,duplicate,"Latent-Class-Sekundaeranalyse desselben TERECO-Datensatzes (119 Zeilen, group_randomized, SF12-Spalten)",identische Dateistruktur wie PMC8318721
2025_isoenergetic-pre-exercise-meals-varying-in-carbo_PMC11874534,crossover_design,design,Crossover-Design; das Gitter unterstellt parallele Gruppen und wuerde die Within-Person-Struktur ignorieren,Design laut Abstract: crossover und pilot
2021_impact-of-assessment-and-intervention-by-a-healt_PMC8318294,outcome_not_identifiable,data,Primaeres Outcome laut Abstract ED length of stay; im Deposit ist keine Spalte eindeutig als solche erkennbar,"60 Spalten; HoLOS und PET beide moeglich, keine eindeutig"
2024_effects-of-anodal-tdcs-on-resting-state-eeg-powe_PMC10765911,outcome_data_not_tabular,data,Die Tabellendatei enthaelt nur Basischarakteristika; die EEG-Outcomes liegen in 7z-Archiven,Tabelle hat 6 Spalten; Outcomes in 20 einzelnen 7z-Archiven
