"study_id","primary_outcome","primary_outcome_declared","primary_timepoint","n_randomised","n_analysed","population","field","delivered_by","published_type","published_est","published_ci_lo","published_ci_hi","published_se","published_p","published_scale","direction","B_baseline_handling","B_covariates","B_analysis_population","B_missing_strategy","B_outlier_rule","B_transformation","B_model_family","B_time_handling","B_clustering_modelled","B_se_method","B_multiplicity","C_baseline_test_reported","C_adjust_after_baseline_test","C_estimand_stated","C_protocol_available","registration_id","journal","journal_requires_data_sharing","registry_outcome_ok","registry_control_ok","registry_issues","mcid_raw"
"aquatic_PMC12111718","EMG muscle activation (MVIC%) of tibialis anterior, gastrocnemius medialis, rectus femoris and biceps femoris, averaged across these four muscles, measured during treadmill perturbations","abstract","post-test after the 8-week intervention, compared with pre-test baseline (single follow-up time point)",30,30,"other","physiotherapy_rehabilitation","trainer","mean_difference",2.23,1.13,3.34,NA,NA,"raw","intervention","other","none","complete_case","none_missing","not_reported","none","anova","factor","none","model_based","bonferroni","yes","no","no","yes","IRCT2017022132705N1","PLOS ONE","yes","no","no","1) Kein primaeres Outcome deklariert (weder Registrierung IRCT2017022132705N1 noch Methods nennen explizit ein primary outcome). Im Abstract-Ergebnisteil wird aber NICHT Kniestreckerkraft zuerst genannt, sondern EMG-Muskelaktivierung (MVIC%) fuer TA/GM/RF/BF, gefolgt von Onset-Zeiten, und erst danach Muskelkraft - und dort wird sogar 'ankle dorsiflexors' vor 'knee extensors' genannt. Die Registry-Wahl 'Post.Strenth.R.Ext/Pre.Strenth.R.Ext' (Kniestreckerkraft) ist somit NICHT das im Abstract erstgenannte Outcome, sondern steht an letzter Stelle von mehreren gleichwertig berichteten Ergebnisfamilien (EMG-Aktivierung, Onset-Zeit, Muskelkraft [Dorsalflexoren vor Kniestreckern]). outcome_var_matches_primary daher 'no'. 2) arm_control in der Registry-Zeile ist auf '1' gesetzt. Abgleich der Deposit-Rohdaten (spss1.xlsx) zeigt jedoch: Group=1 hat n=15, Alter 28.93 (SD 2.25) und BMI 21.48 (SD 1.77) sowie Pre/Post-Kniestreckerkraft 25.74/27.97 - das entspricht exakt der EX-Gruppe in Table 3/4 des Papers (nicht der Kontrollgruppe). Group=2 (Alter 29.13, BMI 22.61, Pre/Post 25.25/25.25) entspricht der CO-Gruppe. Group=1 ist also die Interventionsgruppe (EX), nicht die Kontrollgruppe. arm_control sollte '2' sein, nicht '1'. control_arm_matches daher 'no'. 3) covars_published in der Registry-Zeile listet 'Age,BMI'; im publizierten Statistical-Analysis-Abschnitt werden Age/BMI aber nicht als Kovariaten in ein Modell aufgenommen, sondern nur deskriptiv per unabhaengigem t-Test auf Baseline-Vergleichbarkeit geprueft (Table 3). Die publizierte Primaeranalyse (Mixed-ANOVA) ist unadjustiert. 4) Die Outcome-Variable Post.Strenth.R.Ext/Pre.Strenth.R.Ext (rechtes Bein) entspricht inhaltlich der in Table 4 berichteten Zeile 'Knee extensors' (Pre/Post-Mittelwerte in den Rohdaten stimmen exakt mit Table 3/4 ueberein), sodass zumindest die Variablenzuordnung selbst korrekt ist - nur die Auswahl als 'primaeres' Outcome und arm_control sind falsch/irrefuehrend.",NA
"clusterset_PMC13140343","One-repetition maximum (1RM) in the free-weight back squat (chronic adaptation)","methods_first_named","post-intervention (after the 6-week training programme), compared with pre-intervention baseline",36,36,"healthy","exercise_physiology","unclear","other",NA,NA,NA,NA,0.352,"raw",NA,"other","published_set","complete_case","none_missing","not_reported","none","mixed_ri","factor","none","model_based","holm","yes","yes","no","no","","European Journal of Sport Science","unclear","no","yes","The paper never labels ONE single outcome as 'the primary outcome' for the whole trial, and it explicitly has two separate domains (acute, single-session; chronic, 6-week pre/post). (1) The strongest signal of an intended primary outcome is the a-priori G*Power sample-size calculation, which was computed specifically 'for changes in one-repetition maximum (1RM)... with two groups and two time points (pre- and post-intervention)' (Section 2.1, p.2) -- i.e. 1RM, not CMJ, and this matches the chronic/post-intervention timeframe our registry's primary_time='post' points to. 1RM is also literally first-named among the chronic adaptation outcomes both in the abstract ('Chronic adaptations included one-repetition maximum (1RM), relative isometric peak force, muscle endurance, CMJ height, velocity at 70% 1RM (v70)...') and in Methods 2.4.4, and is analysed first in Results 3.2. CMJ height is listed 4th of 5 chronic outcomes and its chronic result was explicitly null ('Neither protocol improved CMJ height', Discussion p.9; no significant pairwise differences after Holm correction, Results 3.2). So CMJ_mean is NOT well supported as this study's primary outcome. (2) Separately and confusingly, the word 'primary' IS used explicitly in Methods, but only for a distinct set of ACUTE within-session fatigue outcomes: 'LMMs were fitted for each primary fatigue-related outcome (MPV, VL, changes in CMJ and RSI mod.)...' (Section 2.4.3, p.4). This 'CMJ' is the acute pre-to-post-set jump-height CHANGE recorded after each of the 12 training sessions (Fatigue sheet: CMJ_pre_mean/CMJ_post_mean per session), a conceptually different variable from the chronic pre-intervention-vs-post-intervention CMJ height (Table 2 / Tests sheet) that outcome_var=CMJ_mean/time_var=Time/primary_time=post in the registry targets. So even the label 'CMJ' is ambiguous between two different constructs in this paper. (3) Methodologically, even restricting to the intended chronic CMJ height: the authors' deposited R code ('Analyses Chronic.R') shows the actually PUBLISHED CMJ model was fitted on the 'Performance' sheet using ALL 14 assessment occasions (pre-intervention + 12 weekly in-training CMJ recordings + post-intervention) with an AR(1) correlation structure and CMJ baseline as an added covariate (group x time interaction chi2(13) = 32.40, p = 0.002) -- NOT a simple two-timepoint pre/post model. The registry's 'Langformat pre/post' description and the two-row-per-participant 'Tests' sheet (ID, Group, Sex, Time=pre/post, CMJ_mean) reproduce Table 2's descriptive means but do NOT reproduce the model/inferential statistic the paper actually reports for chronic CMJ; a faithful reanalysis of chronic CMJ would need the 14-timepoint 'Performance' sheet, AR(1) structure and baseline covariate, not just sheet 'Tests'. (4) control_arm_matches='yes': TS (traditional/continuous-set training) is consistently treated as the comparator/standard method versus CS (cluster-set training) as the experimental intervention, consistent with registry's arm_control=TS. (5) covars_published='Age,Sex' in the registry only half matches: only Sex is used as a covariate in any published model; Age is never a model covariate (only an eligibility/descriptive variable).",NA
"creatine_PMC11944689","Whole-body (total) lean body mass, change from baseline","abstract","Paper does not designate a single primary timepoint; it analyses 3 co-equal stages separately (T1-T2 = post 7-day wash-in; T2-T3 = post 12-week RT; T1-T3 = baseline to post-RT). The result reported first in the Abstract, taken here as the primary contrast per coding rule, is T1-T2 (post 7-day wash-in).",63,63,"healthy","sports_nutrition","self","adjusted_mean_difference",0.51,NA,NA,NA,0.03,"raw","intervention","ancova","baseline_only","complete_case","complete_case","not_reported","none","lm_ancova","single_timepoint","none","not_reported","none","yes","no","no","registration_only","ACTRN12622000040763 (Australia New Zealand Clinical Trials Registry)","Nutrients (MDPI), 2025, 17, 1081","unclear","no","yes","Our registry.csv row uses data_file 'Desai-Data-LBM-segmental.xlsx' with outcome_var legs_post1/legs_pre (segmental LEG lean mass), with the note 'Ganzkoerper-Magermasse nicht im Deposit, nur Segmente'. This is INCORRECT: whole-body (total) LBM IS present in the deposit, but in the OTHER file, 'Desai-Data-LBM.xlsx' (sheet 'Data'), which has columns dxa_leanmass_kg_pre, dxa_leanmass_kg_post_1, dxa_leanmass_kg_post_2 (and derived lbm_change_post_1/2/3) -- this is exactly the whole-body LBM outcome that the paper actually reports as its main result (Figure 4, Sections 3.1.1-3.1.3). The registry should be updated to point to Desai-Data-LBM.xlsx with outcome_var dxa_leanmass_kg_post_1 (T2, wash-in) or dxa_leanmass_kg_post_2 (T3, post-RT) vs baseline_var dxa_leanmass_kg_pre, rather than the segmental leg columns in Desai-Data-LBM-segmental.xlsx. arm_control='Control' matches the paper's 'Control' group label correctly. Separately: the Abstract states 'Sixty-three... participants were randomised', which equals the n analysed in Table 1 (33 control + 30 supplement), but the Results text separately states 'One male from the CrM group withdrew after the baseline assessment... and was not included in the analysis', implying the true number randomised may have been 64, with the Abstract's '63' actually describing the baseline-analysed sample rather than the randomised sample -- flagged as an internal ambiguity, not resolved here. Also: this trial is described as part of a larger RCT registered under a different title ('The influence of the gut microbiome on resistance training-based skeletal muscle hypertrophy in healthy individuals', ACTRN12622000040763); the registered primary outcome of that larger trial may not be LBM at all -- this could not be verified from the paper text alone (would require checking the ANZCTR entry itself, out of scope here) and is a candidate outcome-switching concern for the reporting audit.",NA
"etip_PMC6886967","Psychological General Well-Being Index (PGWBI) global score","abstract","late pregnancy (gestational week 34-37); also assessed at 3 months postpartum",91,74,"pregnant","exercise_physiology","physiotherapist","adjusted_mean_difference",2.6,-3.77,8.97,NA,0.42,"raw","intervention","ancova","baseline_only","itt","complete_case","not_reported","none","lm_ancova","single_timepoint","none","model_based","none","yes","no","no","yes","NCT01243554","BMJ Open","yes","no","unclear","1) outcome_var=EPDS_total does NOT match this paper's (abstract-)first-named / most-emphasised outcome: the paper never formally labels a single 'primary outcome' variable for this secondary-analysis report; its abstract heading 'Primary and secondary outcomes measures' actually describes ITT (primary) vs per-protocol (secondary) ANALYSIS POPULATIONS, not an outcome hierarchy. Two outcome domains are named as aims: (a) psychological well-being (PGWBI, late pregnancy and 3-months postpartum) and (b) postnatal depression (EPDS). PGWBI is named first in the Abstract Objectives, described in far greater methodological detail, analysed via a pre-specified baseline-adjusted ANCOVA, and reported first in Results/Discussion; EPDS/postnatal depression is presented as an additional/secondary aim within this paper. We therefore coded PGWBI as the primary outcome per the task's default rule (first-named in abstract), which means outcome_var=EPDS_total in the registry targets what this paper treats as a secondary outcome, not its main one. 2) baseline_var=(empty) for EPDS is actually consistent with the paper: no EPDS baseline mean/SD/n is reported anywhere (Methods, Results, Tables, Figures) for either arm; the only EPDS numbers given are single post-values at 3 months postpartum (exercise 2.96, 95% CI 1.7-4.2; control 3.48, 95% CI 2.3-4.7; p=0.55), compared with a plain independent-samples t-test with NO baseline adjustment ('We analysed differences between groups in EPDS using an independent samples t-test.') - unlike PGWBI, which explicitly uses baseline-adjusted ANCOVA. So the missing EPDS baseline is a genuine feature of the published analysis, not obviously a defect of the Dryad deposit alone - though it is worth confirming whether the deposited dataset even contains an EPDS baseline variable at all. 3) covars_published=Pre_preg_BMI is NOT supported by the paper's statistical methods for either PGWBI or EPDS: prepregnancy BMI is used only as an inclusion criterion / descriptive baseline characteristic, never as a covariate in any reported between-group model (the only covariates used anywhere are the outcome's own prior-timepoint values, for PGWBI only). 4) arm_control=1 cannot be verified from the paper text, which never reports numeric codes for the 'Group' variable; this needs to be checked directly against the Dryad dataset/codebook. 5) Abstract states 'late pregnancy 72 (exercise 38, control 36)' which is arithmetically inconsistent (38+36=74, not 72); Table 2 clearly shows n=38 (exercise) and n=36 (control) analysed for the late-pregnancy PGWBI comparison, so we used 74 for n_analysed_primary. Postpartum numbers (36+34=70) are internally consistent.",NA
"etre_PMC11945196","Body weight (kg) — one of three co-primary outcomes (with triceps brachii muscle thickness and push-up endurance)","abstract","Week 8 (post-intervention), vs. Week 0 baseline",24,24,"healthy","sports_nutrition","self","change_score_difference",2.13,1.18,3.07,0.48,0.001,"raw","intervention","other","none","itt","none_missing","not_reported","none","mixed_ri","factor","none","model_based","other","yes","no","no","no",NA,"Nutrients (MDPI)","yes","yes","yes","1) n_arms: the paper has 3 randomised arms (eTRE, dTRE, Control), not the 2 our registry row lists in arm_include. However this does NOT mean the paper only reports an omnibus 3-group test: the primary LMM used dummy-coded Group with Control as the reference category, so the paper explicitly reports a pairwise eTRE-vs-Control contrast (both a post-only simple effect, beta=-2.92, SE=1.00, 95% CI [-4.88,-0.95], p=0.004, and the Time x Group interaction/change-score contrast, beta=2.13, SE=0.48, 95% CI [1.18,3.07], p<0.001) alongside a separate dTRE-vs-Control contrast. Our registry's 2-arm subset (Control vs eTRE) is therefore a legitimate, directly-reported subset of the paper's own primary analysis, not an ad hoc contrast the paper never made. Tukey's HSD post hoc tests were additionally run across all pairwise group x time cells. 2) Body weight is only 1 of 3 co-primary outcomes declared in the Abstract ('The primary outcomes included body weight, the thickness of the triceps brachii long head..., and push-up endurance'); it is listed first among the three and is the outcome most emphasised in the Abstract/Results as the key significant finding, but no formal outcome hierarchy or multiplicity correction across the 3 co-primary outcomes is reported. 3) Deposited data naming mismatch: the Zenodo CSV 'Body data.csv' labels the delayed-TRE arm as 'mTRE', but the paper text (53 occurrences) exclusively calls it 'dTRE' -- the group is never called 'mTRE' anywhere in the manuscript. This does not affect the Control/eTRE contrast our registry uses (those labels match the paper exactly), but it is a genuine data-vs-paper naming discrepancy worth flagging for provenance. 4) Minor: registry id_var is given as 'Participant.ID' (dot) but the actual CSV column header is 'Participant-ID' (hyphen); likely harmless if read with a pipeline that sanitises names (e.g. base R read.csv), but flagged for completeness. 5) Registry outcome_var='Weight', arm_var='Group', time_var='Time', primary_time='post' all match the CSV columns/values exactly for the Control and eTRE rows.",NA
"facial_PMC11164989","Sunnybrook Facial Grading System (SFGS) total composite score (comprising resting symmetry, voluntary movement, and synkinesis subscales)","methods_first_named","Change score from baseline to 20th day (post-intervention, end of 3-week treatment); assessments also taken at baseline and 10th day (mid-intervention)",24,23,"patients","physiotherapy_rehabilitation","physiotherapist","change_score_difference",NA,NA,NA,NA,0.002,"raw","intervention","change","none","complete_case","complete_case","not_reported","none","nonparam","single_timepoint","none","not_reported","not_reported","yes","no","no","registration_only","CTRI/2020/02/023240 (paper text renders it as 'CTRI/2020/02/023,240'; the comma is very likely a PDF text-extraction artifact, not part of the actual registry ID)","Scientific Reports","yes","no","no","1) OUTCOME VARIABLE: The paper's headline/primary result (quoted in the Abstract and matching Table 3 exactly, p = 0.002) is for the SFGS TOTAL COMPOSITE SCORE, baseline-to-20th-day change score - not the voluntary movement (VM) subscore alone. Our registry's outcome_var=VM2 is mismatched on two counts: (a) it targets the VM subscore rather than the composite score the paper's abstract/headline result refers to (the VM subscore's own baseline-to-20th-day change-score p-value in Table 3 is p = 0.013, not p = 0.002); (b) inspection of the deposited 'Data sheet.xlsx' shows VM1/VM2/VM3 correspond to baseline/10th day (mid-intervention)/20th day (post-intervention) respectively - so VM2 is the MID-intervention value, not the final (20th-day) follow-up value used in the paper's primary change-score analysis (which would require VM3). 2) COMPOSITE SCORE AVAILABILITY: Contrary to our prior note ('SFGS-Composite nicht im Datensatz'), the deposited Data sheet.xlsx DOES contain the SFGS total composite score, as columns T1 (baseline)/T2 (10th day)/T3 (20th day) - verified by recomputing group medians from the raw data, which reproduce the published Table 1/Table 2 composite-score medians exactly (e.g., experimental baseline median 31.5, 20th-day median 90.0). So a composite-score re-analysis is in fact possible from the deposited data; the registry should reference T1 (baseline) vs T3 (20th day/final), not VM1/VM2. 3) CONTROL ARM: Cross-checking the deposited dataset's Group/Age/Gender columns against Table 1 shows Group=1 reproduces the EXPERIMENTAL group's reported baseline statistics exactly (median age 39.5 vs Table 1's 39.5; 58.3% male vs Table 1's 58.3%) and Group=2 reproduces the CONVENTIONAL/control group's statistics exactly (median age 45.0; 90.9% male); Group=2 is also the arm containing the single participant lost to follow-up, consistent with the paper's text ('Following allocation to the conventional group... data collection for one patient was incomplete and lost to follow-up'). This means Group=1 = experimental/intervention arm and Group=2 = conventional/control arm - the OPPOSITE of our registry's arm_control=1. 4) COVARIATE: covars_published=Age in our registry does not correspond to an actual adjustment covariate in the paper; Age was used only for a baseline-balance test (Table 1), not in any outcome model (the primary analysis is an unadjusted nonparametric group comparison of change scores).",NA
"free_PMC6733445","Roland Morris Disability Questionnaire (RMDQ) - change from baseline in disability","methods_first_named","6 months (= week 26 in the deposited dataset's 'week' variable, which takes values 2, 6, 12, 26 corresponding to the 2-week, 6-week, 3-month and 6-month follow-up occasions; the paper's own text always says '6 months', never literally '26 weeks')",226,221,"patients","physiotherapy_rehabilitation","unclear","adjusted_mean_difference",0.57,-0.64,1.78,NA,0.354,"raw","control","ancova","published_set","itt","mmrm_ml","not_reported","none","mixed_slopes","longitudinal_pooled","therapist","model_based","not_reported","no","no","no","yes","ACTRN12616000888460","PLOS Medicine","yes","yes","yes","primary_time=26 (Woche) ist KORREKT / BESTAETIGT, war aber in registry.csv nur 'ANGENOMMEN': Das Paper selbst spricht im Fliesstext nur von '6 months' (nie woertlich '26 weeks'), aber die deponierten Datensaetze (FREE_Patient_Outcome_Data_v1_0.csv) enthalten eine Variable 'week' mit genau den vier Werten {2, 6, 12, 26}, entsprechend den vier Follow-up-Zeitpunkten (2 Wochen, 6 Wochen, 3 Monate, 6 Monate); week=26 entspricht damit eindeutig dem primaeren 6-Monats-Zeitpunkt. outcome_var=rmdq_tot und baseline_var=rmdq_tot_base sind KORREKT (passen exakt zur Data Dictionary: 'rmdq_tot' = RMDQ-Summenscore beim Follow-up, 'rmdq_tot_base' = RMDQ-Summenscore bei Baseline; RMDQ ist laut Methods-Abschnitt 'Outcomes' explizit das 'primary patient-level outcome'). arm_var=Tment mit Werten 'FREE'/'Control' ist KORREKT bestaetigt (direkt im Datensatz geprueft), arm_control='Control' ist KORREKT. cluster_vars=practice_code ist NUR TEILWEISE korrekt: 'practice_code' entspricht der tatsaechlich randomisierten Einheit (8 Praxen, cluster-randomisiert stratifiziert nach Praxisgroesse), ABER das publizierte Primaermodell modelliert die Clusterung von Patientenoutcomes NICHT ueber practice_code, sondern ueber einen GP-Random-Effekt (Random Intercept + Slope fuer den einzelnen Hausarzt/die Hausaerztin, Spalte 'GP' im Datensatz): 'for patient outcomes by specifying random effects for the GP ... whereas randomisation was at the practice level, clustering effects on outcome values were expected to be mostly driven by interpractitioner variability' (Statistical analysis, p. 7/20). Eine originalgetreue Reanalyse sollte daher nach GP clustern (nicht nach practice_code) und zusaetzlich die Praxisgroessen-Stratifizierungsvariable (pracsize_strata, <=8 vs. >8 FTE GPs) als fixen Kovariaten-Term aufnehmen. covars_published und strat_vars sind in registry.csv LEER/nicht befuellt; sollten laut Paper ergaenzt werden um: covars_published = baseline RMDQ, age, gender, NZDep, back pain duration, back pain nature (constant/episodic), recent/ongoing non-GP healthcare use, previous back pain history, baseline psychosocial factors (PSEQ-2, recovery expectations), GP-level baseline HC-PAIRS; strat_vars = pracsize_strata. published_est/published_p sind in registry.csv leer; sollten mit 0.57 (95% CI -0.64 bis 1.78) und p=0.354 befuellt werden.",NA
"gainingmore_PMC10809978","Muscle thickness (hypertrophy) of the quadriceps femoris (rectus femoris and vastus lateralis, measured at 30/50/70% femur length) and triceps surae (medial/lateral gastrocnemius, soleus), assessed by B-mode ultrasound. This is the first-named outcome domain in the Abstract ('Muscle growth outcomes included assessments of muscle thickness...'); the paper never uses the word 'primary' or 'co-primary' anywhere in the text, and treats 9 muscle-thickness/body-composition sites as statistically co-equal (Table 2). Rectus femoris 50% (registry outcome_var) is one of these 9 sites.","abstract","Post-intervention (end of 9-week training block, ultrasound taken >=48h after the last training session) vs. baseline (Pre); single pre-post comparison, no intermediate muscle-thickness timepoint",50,39,"healthy","exercise_physiology","trainer","change_score_difference",-0.63,-2.8,1.5,NA,0.273,"raw","control","change","none","complete_case","complete_case","not_reported","none","mixed_ri","factor","none","model_based","none","no","no","yes","registration_only","OSF preregistration https://osf.io/bztka (methods preregistered prior to recruitment); data/materials at https://osf.io/kdgv3 (doi:10.17605/OSF.IO/KDGV3)","PeerJ","yes","unclear","no","1) No declared primary outcome: the word 'primary' (or 'co-primary') does not occur anywhere in the paper. The registry note 'Muskeldicke koprimaer an mehreren Stellen' is a reasonable inference from the symmetric treatment of 9 muscle-thickness/body-composition outcomes in Table 2, but is not the authors' own language. RF50 (Rectus femoris 50%) is one of these 9 co-equal sites; it is somewhat more prominent than RF30/RF70/VL30/VL70/lateral gastrocnemius/soleus because it is one of only 3 sites (RF50, VL50, medial gastrocnemius) entered into the multivariate composite model, but the paper never singles it out as THE primary outcome. 2) arm_control mismatch: registry.csv codes arm_control='1', but checking the raw deposited dataset (Dataset Deload.xlsx, GROUP column) against Table 1 descriptive stats shows GROUP=1 has n=18 with RF50 Pre/Post means 41.4/45.5 mm, which matches the DELOAD arm (n=18) in Table 1 -- i.e. GROUP=1 is DELOAD, the intervention/experimental arm, not the control. GROUP=2 (n=21, RF50 Pre/Post 44.7/49.3 mm) matches TRAD (n=21), which the paper itself treats as the de facto control/reference arm (Fig. 2/3 captions: 'Negative values favor control and positive values favor the inclusion of a detraining period'; Limitations: 'the TRAD condition (which essentially served as a control)'). So the registry's arm_control value ('1') is coded to the wrong group; the true control arm is GROUP=2 (TRAD). 3) covars_published=SEX in registry does not match the paper: the Statistical analyses section lists no covariates (only 'group' and repeated-measures/time terms) for the primary group-difference models; sex is reported only descriptively, not as an adjustment covariate.",NA
"lengthpartial_PMC11829627","Muscle thickness (hypertrophy) of the elbow flexors and elbow extensors, assessed via B-mode ultrasonography at 45% and 55% of humeral length - the first-named outcome domain in the abstract (named before strength-endurance). The paper reports four parallel muscle-thickness sites (elbow flexor 45%, elbow flexor 55%, elbow extensor 45%, elbow extensor 55%) with no single site singled out as primary; the site coded as outcome_var in our registry (BB55) corresponds to elbow flexor / biceps brachii thickness at 55% of humeral length, one of these four sites.","abstract","Post-intervention (after the 8-week resistance-training program) vs. pre-intervention baseline; only two timepoints (pre, post) were assessed",30,25,"healthy","exercise_physiology","trainer","other",-0.08,-1.1,0.9,NA,0.438,"raw","null","unclear","unclear","complete_case","complete_case","not_reported","none","mixed_ri","unclear","none","model_based","none","no","no","no","yes","OSF preregistration https://osf.io/86v2h (registered prior to data collection); data/materials deposited at https://osf.io/a6cpz, DOI 10.17605/OSF.IO/A6CPZ","PeerJ","yes","unclear","no","(1) Studiendesign ist kein klassisches 2-Arm-Parallelgruppen-RCT, sondern ein Innerhalb-Person/kontralaterale-Extremitaet-Vergleich: 30 randomisierte Teilnehmer, deren zwei Arme je einer von zwei Trainingsbedingungen (pROM/fROM) zugelost wurden; jede Person liefert Daten zu beiden Bedingungen. 'arm_control'/'Kontrollarm' im klassischen Sinn existiert nicht - beide Bedingungen sind aktive Trainingsinterventionen. registry arm_control=1 (=pROM) ist nur eine Referenzcodierung fuer die Reanalyse, keine echte Kontrollgruppe -> control_arm_matches = 'no'. (2) Kein im Paper formal deklariertes primaeres Outcome (bestaetigt Registry-Notiz): vier Muskeldicke-Messorte (Ellbogenflexor 45%/55%, Ellbogenextensor 45%/55%) und zwei Kraft-Ausdauer-Messungen (10RM voll/partiell) werden als gleichrangige Co-Outcomes mit separaten Bayes-Faktoren berichtet (Tabelle 4). (3) Registry-outcome_var BB55 (Bizeps/Ellbogenflexor bei 55% Humeruslaenge) ist plausibel dem im Abstract zuerst genannten Outcome-Bereich (Muskeldicke, vor Kraft-Ausdauer genannt) zuzuordnen, aber im Abstract/Methodentext werden 45% und 55% stets gemeinsam und ohne Praeferenz genannt (45% wird textuell sogar zuerst erwaehnt) und Flexor/Extensor werden ebenfalls gemeinsam genannt -> outcome_var_matches_primary = 'unclear'. (4) n_randomised=30 und n_analysed=25 (5 Dropouts) stimmen mit den Rohdaten ueberein: 'Data Sheet.xlsx', Sheet 'Muscle Thickness', 25 Zeilen mit GROUP=1 und 25 Zeilen mit GROUP=2 fuer BB55. (5) Legendenzeilen ('1 = pROM', '2 = fROM') wurden am Ende der GROUP-Spalte in der Rohdatei bestaetigt; arm_include='1,2' filtert diese korrekt heraus. (6) primary_time/covars_published/strat_vars/cluster_vars/published_est/published_p sind in der Registry-Zeile leer - konsistent mit fehlender formaler Primaeranalyse-Deklaration im Paper; die in dieser JSON dokumentierten Schaetzer stammen direkt aus Tabelle 4 des Papers.",NA
"lymfit_PMC11171874","Self-reported physical activity level (Godin-Shephard Leisure-Time Exercise Questionnaire, LTPA-Q)","abstract","T1 = immediately post-intervention (end of the 12-week Lymfit program / end of 12-week wait period for controls)",26,26,"survivors","exercise_physiology","trainer","adjusted_mean_difference",18.3,NA,NA,NA,0.002,"raw","intervention","ancova","baseline_only","itt","not_reported","not_reported","none","lm_ancova","single_timepoint","none","model_based","not_reported","yes","no","no","registration_only","NCT05259657","Healthcare (MDPI); Healthcare 2024, 12, 1101","unclear","unclear","yes","(1) This is a pilot/feasibility RCT: the paper's actual stated primary aim is feasibility (a priori benchmarks for recruitment, retention, questionnaire completion, fidelity, missing data, Fitbit adherence, control-group design - all met), with acceptability as a second aim. There is no single outcome formally labelled 'primary outcome' for efficacy. The Methods/Objectives section lists 'preliminary effects on four study outcomes' as one aim, in the order: psychological need satisfaction (PNSE), exercise motivation (BREQ-3), physical activity level (Godin/LTPA-Q, our POST_Godin), and health-related quality of life (PROPr) - i.e. Godin/LTPA-Q is listed THIRD of four in Methods, not first. The Abstract, however, first names 'self-reported physical activity levels' among the ANCOVA findings, which is why this extraction used the abstract rule and picked LTPA-Q/POST_Godin as 'primary_outcome_name'. Because no true single primary outcome is declared anywhere, outcome_var_matches_primary is coded 'unclear' rather than 'yes'. (2) Covariate mismatch: our registry line lists covars_published='Age,BMI', but the paper's ANCOVA models adjust ONLY for the outcome's own baseline (T0) value, not for Age or BMI (these appear only in the descriptive Table 1, with a note of no significant baseline group differences). This should be corrected/flagged in the registry. (3) Minor numeric inconsistency in the paper itself: abstract reports mean age 32.1 years vs. Results/Table 1 reporting 32.35/32.4 years (SD 5.82) - not related to our registry, noted for completeness.",NA
