study_id,data_file,sheet,id_var,arm_var,arm_include,arm_control,outcome_var,baseline_var,time_var,primary_time,baseline_time,covars_published,strat_vars,cluster_vars,report_type,field,population,primary_declared,notes,primary_declared_v3,notes_en
physiofeedback_PMC12821712,studies/2026_effect-of-a-physio-feedback-exercise-interventio_PMC12821712/deposit/deidentified data.xlsx,,SubjectID,Group,,Control,AP_RMS,,Time,4,1,"Age,BMI,Gender,Race",,Site,secondary,exercise_physiology,healthy,abstract,Explorative Sekundaeranalyse; AP RMS erstgenannt; publiziert auf Log-Skala; Langformat 4 Zeitpunkte,secondary_report,"Exploratory secondary analysis; AP RMS listed first; published on log scale; long format, 4 timepoints"
mulligan_PMC13092435,studies/2026_comparison-of-the-short-term-effects-of-mulligan_PMC13092435/deposit/Kiouloukiotis data.sav,,ParticipantNumber,TreatmentGroup,"1,3",3,NPRS2,NPRS1,,,,,,,primary,physiotherapy_rehabilitation,patients,abstract,"KORRIGIERT: Kontrolle = 3 (Home Exercise), Kontrast Mulligan (1) vs Kontrolle; keine Kovariaten im publizierten Modell",registration,"CORRECTED: control = 3 (Home Exercise), contrast Mulligan (1) vs control; no covariates in the published model"
lytras_fms_PMC12942207,studies/2026_short-term-effects-of-manual-therapy-combined-wi_PMC12942207/deposit/Lytras FMS 1 data.sav,,,GROUP,,2,NRPSLBPpost,NRPSLBPpre,,,,,,,primary,physiotherapy_rehabilitation,patients,registration,KORRIGIERT: Kontrolle = 2 (Manual Therapy allein); NPRS lumbal erstes von 4 koprimaeren laut Registrierung; keine Kovariaten,registration,CORRECTED: control = 2 (Manual Therapy alone); NPRS lumbar first of 4 co-primary outcomes per the registration; no covariates
clusterset_PMC13140343,studies/2026_acute-responses-and-chronic-adaptations-to-clust_PMC13140343/deposit/data.xlsx,,ID,Group,,TS,1RM,,Time,post,pre,Sex,,,primary,exercise_physiology,healthy,methods_first_named,"KORRIGIERT: Outcome 1RM Kniebeuge (Fallzahlplanung), nicht CMJ; Langformat pre/post",sample_size,"CORRECTED: outcome 1RM squat (sample size calculation), not CMJ; long format pre/post"
tereco_PMC8318721,studies/2022_a-telerehabilitation-programme-in-post-discharge_PMC8318721/deposit/TERECO_Public_Data_wide.csv,,,group_randomized,,2,X_6MWD2,X_6MWD1,,,,,center,,primary,physiotherapy_rehabilitation,survivors,methods_first_named,"KORRIGIERT: Kontrolle = 2; Zentrum als Stratifizierungsfaktor; 7 fehlend post, alle im TERECO-Arm",registration,"CORRECTED: control = 2; centre as stratification factor; 7 missing post, all in the TERECO arm"
spadi_PMC4880881,studies/2016_adhesive-capsulitis-of-the-shoulder-treatment-wi_PMC4880881/deposit/Frozen shoulder RCTgr dataset 100516_art2_1.sav,,,Group,"1,3",3,SPADI8wks,SPADItotPre,,,,,,,primary,other,patients,methods_first_named,"KORRIGIERT: Kontrolle = TAU = 3, Kontrast IS (1) vs TAU; Paper poolt 4+8 Wochen, hier 8 Wochen als Ende des Kurzzeitfensters; Steroidinjektion, kein Physio-Kontext",registration,"CORRECTED: control = TAU = 3, contrast IS (1) vs TAU; the paper pools 4+8 weeks, here week 8 is used as the end of the short-term window; steroid injection, not a physiotherapy context"
tscs_PMC13085461,studies/2026_transcutaneous-spinal-cord-stimulation-combined_PMC13085461/deposit/iEMG _1_ 2.0.sav,,ID,Group,,2,BBS_Post,BBS_Pre,,,,,,,primary,physiotherapy_rehabilitation,patients,abstract,"KORRIGIERT: Kontrolle = 2 (CPT+tSCS, n=7); BBS erstes von zwei koprimaeren; keine Kovariaten ausser Baseline",registration,"CORRECTED: control = 2 (CPT+tSCS, n=7); BBS first of two co-primary outcomes; no covariates other than baseline"
tdcs_PMC13257960,studies/2026_integrating-multi-session-transcranial-direct-cu_PMC13257960/deposit/tDCS.sav,,,group,,2,CAR_post_all,CAR_pre_all,,,,,,,secondary,neuromodulation,patients,methods_first_named,"KORRIGIERT: Kontrolle = 2 (Sham); CAR erstes von zwei koprimaeren; keine Kovariaten | 2026-09-13: laut Registrierung IRCT20231113060048N1 ist Kniestreckerkraft primaer, CAR sekundaer; Kraft nicht im Deposit; daher Sekundaerbericht",secondary_report,"CORRECTED: control = 2 (Sham); CAR first of two co-primary outcomes; no covariates | 2026-09-13: per registration IRCT20231113060048N1, knee-extensor strength is primary, CAR secondary; strength not in the deposit; hence reported as secondary"
etip_PMC6886967,studies/2019_effects-of-supervised-exercise-training-during-p_PMC6886967/deposit/ETIP_Mental_Health_in_obese_pregancies.sav,,ID,Group,,2,Post_PGWB,Pre_PGWB_index,,,,,,,secondary,exercise_physiology,pregnant,abstract,"KORRIGIERT: Outcome PGWBI spaete Schwangerschaft mit Baseline, nicht EPDS; Kontrolle = 2; Sekundaeranalyse des ETIP-Trials",secondary_report,"CORRECTED: outcome PGWBI late pregnancy with baseline, not EPDS; control = 2; secondary analysis of the ETIP trial"
phosphatidic_PMC4891923,studies/2016_the-effects-of-phosphatidic-acid-supplementation_PMC4891923/deposit/Maxxtor male stats 8-12-15.xlsx,,ID,Group,,2,LBM2,LBM1,,,,,,,primary,sports_nutrition,healthy,abstract,"KORRIGIERT: Kontrolle = 2 (Placebo, n=10); keine Kovariaten; 9 gleichrangige Outcomes ohne Hierarchie",none,"CORRECTED: control = 2 (placebo, n=10); no covariates; 9 outcomes of equal rank with no hierarchy"
facial_PMC11164989,studies/2024_effectiveness-of-novel-facial-stretching-with-st_PMC11164989/deposit/Data sheet.xlsx,,Serial number,Group,,2,T3,T1,,,,,,,primary,physiotherapy_rehabilitation,patients,methods_first_named,"KORRIGIERT: Outcome SFGS-Composite Tag 20 (T3) mit Baseline T1, nicht VM Tag 10; Kontrolle = 2",registration,"CORRECTED: outcome SFGS composite day 20 (T3) with baseline T1, not VM day 10; control = 2"
